zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
West,F,High School or Below,13786.0,0.0,61.0,0.0,Personal Auto,Four-Door Car,370.755025
North West,M,Bachelor,7706.0,0.0,107.0,0.0,Personal Auto,Sports Car,1267.709661
North West,F,Bachelor,8520.0,0.0,80.0,0.0,Personal Auto,Four-Door Car,69.142986
West,F,Bachelor,2242.0,0.0,67.0,3.0,Personal Auto,Four-Door Car,618.355883
West,F,Bachelor,27069.0,22955.0,92.0,3.0,Personal Auto,Four-Door Car,441.6
East,M,Bachelor,20579.0,0.0,69.0,0.0,Personal Auto,Four-Door Car,566.673518
North West,M,Master,2465.0,51641.0,63.0,1.0,Personal Auto,Four-Door Car,137.091494
West,F,Master,9052.0,10211.0,119.0,0.0,Personal Auto,SUV,571.2
West,F,Bachelor,2546.0,0.0,68.0,0.0,Corporate Auto,Four-Door Car,296.692076
Central,F,Bachelor,3007.0,0.0,80.0,0.0,Personal Auto,Two-Door Car,16.524885
Central,F,Bachelor,27789.0,33806.0,89.0,0.0,Personal Auto,Four-Door Car,395.729716
West,M,Master,6289.0,50269.0,80.0,0.0,Personal Auto,Two-Door Car,32.228778
Central,M,Bachelor,3954.0,18375.0,103.0,0.0,Personal Auto,Sports Car,535.080276
North West,M,Bachelor,7583.0,24133.0,68.0,0.0,Personal Auto,Two-Door Car,76.026046
West,F,College,6186.0,88375.0,77.0,0.0,Personal Auto,Four-Door Car,0.42331
Central,M,Master,5757.0,88997.0,72.0,0.0,Personal Auto,Four-Door Car,174.041566
West,F,High School or Below,4473.0,0.0,125.0,0.0,Personal Auto,SUV,600.0
North West,M,High School or Below,4786.0,23402.0,61.0,0.0,Personal Auto,Four-Door Car,292.8
West,F,High School or Below,12244.0,46396.0,103.0,1.0,Corporate Auto,Four-Door Car,384.01403
Central,F,College,7121.0,0.0,96.0,0.0,Personal Auto,Four-Door Car,460.8
North West,F,High School or Below,7547.0,0.0,102.0,0.0,Personal Auto,Four-Door Car,489.6
West,F,College,20380.0,33175.0,66.0,0.0,Corporate Auto,Two-Door Car,84.520776
West,F,Master,9011.0,63885.0,114.0,0.0,Personal Auto,SUV,86.477384
West,F,High School or Below,20096.0,92766.0,71.0,0.0,Personal Auto,Two-Door Car,379.029102
Central,M,College,4786.0,45515.0,61.0,0.0,Personal Auto,Two-Door Car,236.907007
North West,M,Bachelor,11578.0,0.0,115.0,0.0,Personal Auto,SUV,1163.620366
West,M,High School or Below,2719.0,37703.0,70.0,0.0,Corporate Auto,Two-Door Car,83.121963
North West,F,Bachelor,4760.0,0.0,68.0,0.0,Corporate Auto,Four-Door Car,489.6
North West,M,College,8701.0,0.0,122.0,0.0,Personal Auto,SUV,684.851797
Central,F,College,2659.0,64987.0,66.0,0.0,Personal Auto,Four-Door Car,182.927837
Central,F,High School or Below,5139.0,73180.0,64.0,0.0,Personal Auto,Four-Door Car,132.543257
North West,F,High School or Below,20096.0,92766.0,71.0,0.0,Corporate Auto,Two-Door Car,379.029102
Central,M,College,4025.0,0.0,119.0,2.0,Personal Auto,SUV,571.2
West,F,College,2771.0,50071.0,71.0,0.0,Personal Auto,Two-Door Car,18.918935
West,M,College,6745.0,53058.0,91.0,4.0,Personal Auto,Four-Door Car,209.465295
North West,M,Master,9259.0,0.0,127.0,0.0,Special Auto,SUV,22.483259
West,F,College,8467.0,16370.0,74.0,0.0,Personal Auto,Two-Door Car,296.049396
West,F,Bachelor,22762.0,70521.0,63.0,0.0,Corporate Auto,Four-Door Car,302.4
North West,M,Bachelor,9332.0,58007.0,81.0,0.0,Special Auto,Two-Door Car,518.346912
North West,M,College,7100.0,31670.0,179.0,0.0,Corporate Auto,Sports Car,1288.8
North West,F,High School or Below,8007.0,0.0,112.0,0.0,Personal Auto,Sports Car,537.6
Central,F,Bachelor,19511.0,0.0,70.0,0.0,Corporate Auto,Four-Door Car,491.112176
North West,F,Bachelor,8145.0,62534.0,68.0,0.0,Personal Auto,Two-Door Car,326.4
North West,M,Bachelor,2810.0,26790.0,71.0,0.0,Corporate Auto,Two-Door Car,340.8
West,F,Bachelor,6846.0,0.0,95.0,0.0,Personal Auto,Two-Door Car,456.0
North West,F,High School or Below,3755.0,56178.0,94.0,0.0,Personal Auto,Four-Door Car,451.2
Central,F,High School or Below,2393.0,28646.0,61.0,0.0,Personal Auto,Four-Door Car,355.028632
North West,M,High School or Below,40636.0,31267.0,129.0,0.0,Personal Auto,Sports Car,619.2
Central,M,College,9067.0,78250.0,114.0,0.0,Personal Auto,Four-Door Car,547.2
West,M,High School or Below,5619.0,0.0,153.0,0.0,Personal Auto,SUV,1027.000029
West,M,Bachelor,8013.0,65636.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
West,M,Bachelor,4089.0,43177.0,103.0,0.0,Corporate Auto,SUV,420.966805
North West,M,College,5065.0,26733.0,66.0,0.0,Personal Auto,Four-Door Car,218.717113
North West,F,Master,8372.0,12590.0,73.0,0.0,Personal Auto,Two-Door Car,132.503461
East,M,Bachelor,66025.0,33481.0,188.0,0.0,Personal Auto,Luxury Vehicle,1194.892002
West,F,College,8175.0,0.0,80.0,0.0,Personal Auto,Four-Door Car,384.0
North West,M,Doctor,8720.0,25752.0,73.0,0.0,Personal Auto,Two-Door Car,378.262864
West,F,College,3237.0,27982.0,87.0,0.0,Personal Auto,Two-Door Car,14.743099
West,M,Bachelor,5354.0,29445.0,68.0,0.0,Personal Auto,Four-Door Car,334.015169
East,F,College,2375.0,47455.0,61.0,0.0,Personal Auto,Four-Door Car,278.804991
Central,F,High School or Below,8646.0,64125.0,108.0,0.0,Personal Auto,SUV,369.818708
North West,F,College,6672.0,56830.0,83.0,0.0,Personal Auto,Two-Door Car,319.799712
West,M,College,12919.0,58236.0,108.0,0.0,Corporate Auto,SUV,67.253453
East,M,Bachelor,7385.0,54289.0,62.0,0.0,Personal Auto,Four-Door Car,430.093647
West,F,College,7200.0,0.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
West,M,College,7281.0,47482.0,93.0,0.0,Corporate Auto,Four-Door Car,594.177664
Central,M,Master,3237.0,60244.0,83.0,3.0,Personal Auto,Four-Door Car,326.281835
Central,M,College,2722.0,20867.0,71.0,0.0,Personal Auto,Four-Door Car,340.8
West,M,Master,11277.0,98138.0,93.0,1.0,Personal Auto,Four-Door Car,427.52731
West,M,High School or Below,8555.0,0.0,81.0,0.0,Personal Auto,Four-Door Car,583.2
East,F,Bachelor,2911.0,20327.0,74.0,0.0,Personal Auto,Four-Door Car,824.254866
North West,F,High School or Below,10083.0,11828.0,90.0,0.0,Personal Auto,Four-Door Car,571.479602
Central,M,Doctor,5704.0,50695.0,71.0,0.0,Personal Auto,Two-Door Car,110.567069
Central,M,High School or Below,7664.0,0.0,107.0,0.0,Personal Auto,Four-Door Car,770.4
North West,M,High School or Below,4909.0,98693.0,61.0,0.0,Personal Auto,Four-Door Car,292.8
North West,F,Bachelor,5470.0,54507.0,138.0,0.0,Personal Auto,SUV,702.990032
Central,M,College,5067.0,89703.0,126.0,0.0,Personal Auto,SUV,601.983113
East,F,College,4896.0,0.0,71.0,0.0,Personal Auto,Four-Door Car,421.147532
West,M,Bachelor,4572.0,0.0,67.0,1.0,Personal Auto,Two-Door Car,357.14996
North West,M,College,8237.0,70882.0,69.0,0.0,Personal Auto,Four-Door Car,124.380223
Central,F,Bachelor,3964.0,60817.0,103.0,1.0,Personal Auto,Four-Door Car,494.4
Central,M,Bachelor,10901.0,72257.0,90.0,0.0,Personal Auto,Four-Door Car,408.415481
West,M,Doctor,16304.0,90008.0,137.0,0.0,Personal Auto,SUV,406.986034
Central,F,High School or Below,2619.0,93987.0,65.0,0.0,Personal Auto,Two-Door Car,251.321448
North West,F,High School or Below,14024.0,81872.0,115.0,0.0,Personal Auto,Four-Door Car,256.43803
Central,F,Bachelor,24320.0,60221.0,67.0,0.0,Personal Auto,Four-Door Car,238.561687
Central,F,Bachelor,24249.0,33651.0,69.0,1.0,Personal Auto,Four-Door Car,328.65413
West,F,College,20864.0,0.0,61.0,0.0,Special Auto,Four-Door Car,216.08671
North West,M,High School or Below,8823.0,75741.0,109.0,0.0,Corporate Auto,SUV,217.188864
Central,M,Master,7610.0,38086.0,96.0,0.0,Personal Auto,Two-Door Car,243.237741
West,F,High School or Below,7486.0,38725.0,64.0,0.0,Corporate Auto,Two-Door Car,307.2
Central,M,High School or Below,8763.0,20132.0,86.0,3.0,Corporate Auto,Four-Door Car,412.8
Central,M,Master,27386.0,0.0,105.0,0.0,Personal Auto,Sports Car,451.13986
North West,M,High School or Below,11121.0,44299.0,106.0,5.0,Personal Auto,SUV,754.260616
Central,M,High School or Below,5657.0,98917.0,139.0,0.0,Corporate Auto,Sports Car,336.612234
West,F,College,18938.0,91535.0,67.0,1.0,Personal Auto,Four-Door Car,126.634634
East,F,College,13865.0,53484.0,70.0,0.0,Corporate Auto,Two-Door Car,333.051529
North West,M,Doctor,8188.0,45318.0,103.0,0.0,Personal Auto,SUV,494.4
North West,F,Bachelor,5626.0,46897.0,70.0,0.0,Personal Auto,Four-Door Car,344.377218
Central,F,Master,3208.0,40135.0,80.0,0.0,Personal Auto,Four-Door Car,78.008093
Central,M,College,5282.0,38606.0,68.0,0.0,Personal Auto,Four-Door Car,413.288851
North West,F,Bachelor,8696.0,56550.0,73.0,3.0,Corporate Auto,Four-Door Car,162.775889
North West,F,College,5259.0,61146.0,65.0,0.0,Personal Auto,Four-Door Car,273.018929
Central,M,High School or Below,7854.0,36409.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
Central,F,Bachelor,6438.0,90035.0,80.0,0.0,Personal Auto,Four-Door Car,141.628547
West,F,Bachelor,11633.0,39669.0,98.0,0.0,Personal Auto,Two-Door Car,492.935479
Central,F,Master,2442.0,57963.0,61.0,0.0,Personal Auto,Four-Door Car,42.160829
East,F,High School or Below,14024.0,81872.0,115.0,0.0,Personal Auto,Four-Door Car,256.43803
West,F,High School or Below,2491.0,25965.0,65.0,0.0,Personal Auto,Four-Door Car,329.206567
Central,F,High School or Below,3410.0,59662.0,85.0,0.0,Personal Auto,Four-Door Car,10.168824
Central,M,College,3842.0,27906.0,102.0,0.0,Personal Auto,Four-Door Car,489.6
North West,F,High School or Below,3339.0,51032.0,83.0,0.0,Personal Auto,Four-Door Car,349.954886
Central,F,Bachelor,5358.0,83771.0,133.0,0.0,Personal Auto,Sports Car,482.328161
North West,F,Bachelor,9268.0,57052.0,115.0,1.0,Corporate Auto,SUV,483.62724
West,M,Master,4200.0,51510.0,106.0,0.0,Personal Auto,Four-Door Car,688.547375
North West,F,College,4829.0,34819.0,61.0,0.0,Corporate Auto,Four-Door Car,185.898327
West,F,Bachelor,14244.0,31189.0,122.0,0.0,Personal Auto,Sports Car,585.6
West,F,College,4095.0,32180.0,103.0,0.0,Special Auto,Sports Car,558.835255
West,M,Bachelor,33718.0,27500.0,114.0,0.0,Corporate Auto,SUV,472.280461
West,F,College,7540.0,67018.0,94.0,0.0,Personal Auto,Four-Door Car,104.427573
Central,M,Bachelor,2821.0,0.0,77.0,0.0,Corporate Auto,Two-Door Car,436.369797
North West,F,College,36695.0,0.0,199.0,0.0,Personal Auto,Luxury Vehicle,1062.090461
West,F,Bachelor,19731.0,33588.0,62.0,0.0,Corporate Auto,Four-Door Car,419.921897
North West,M,Doctor,6685.0,56270.0,83.0,0.0,Personal Auto,Four-Door Car,398.4
Central,M,College,8408.0,82800.0,70.0,0.0,Corporate Auto,Four-Door Car,442.194796
Central,F,College,7371.0,0.0,68.0,0.0,Personal Auto,Four-Door Car,425.137341
North West,M,High School or Below,4742.0,63891.0,119.0,0.0,Corporate Auto,Two-Door Car,7.651121
East,F,Master,15865.0,43946.0,133.0,0.0,Corporate Auto,Sports Car,415.98615
East,M,Bachelor,5396.0,62039.0,68.0,1.0,Personal Auto,Four-Door Car,265.877583
North West,M,College,4330.0,60475.0,107.0,0.0,Personal Auto,Four-Door Car,513.6
Central,F,High School or Below,5708.0,70279.0,71.0,0.0,Special Auto,Four-Door Car,331.231484
North West,F,High School or Below,3500.0,0.0,93.0,0.0,Personal Auto,Two-Door Car,446.4
North West,F,High School or Below,3919.0,66676.0,97.0,0.0,Personal Auto,Four-Door Car,558.099357
Central,M,High School or Below,2910.0,12048.0,77.0,0.0,Corporate Auto,Four-Door Car,369.6
Central,F,College,4827.0,0.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
Central,F,College,4811.0,0.0,68.0,0.0,Personal Auto,Two-Door Car,619.07199
West,F,Master,7834.0,36094.0,99.0,1.0,Personal Auto,Two-Door Car,456.50357
Central,M,Bachelor,14666.0,0.0,61.0,0.0,Corporate Auto,Four-Door Car,439.2
East,F,College,7199.0,63328.0,89.0,0.0,Personal Auto,Two-Door Car,427.2
Central,M,High School or Below,3914.0,0.0,112.0,0.0,Corporate Auto,Sports Car,587.861936
East,F,High School or Below,9470.0,36121.0,118.0,0.0,Personal Auto,Four-Door Car,1107.145019
West,M,Master,5479.0,56005.0,68.0,1.0,Personal Auto,Four-Door Car,326.4
Central,F,High School or Below,2488.0,48597.0,71.0,5.0,Corporate Auto,Four-Door Car,305.697525
West,F,High School or Below,5886.0,0.0,81.0,0.0,Personal Auto,Four-Door Car,583.2
North West,F,College,8406.0,42540.0,70.0,0.0,Personal Auto,Four-Door Car,43.548973
West,M,College,8685.0,87544.0,109.0,1.0,Corporate Auto,SUV,523.2
Central,M,High School or Below,25030.0,26292.0,80.0,2.0,Personal Auto,Two-Door Car,384.0
West,F,High School or Below,17822.0,42696.0,228.0,0.0,Personal Auto,Luxury Vehicle,1273.741085
Central,M,College,2798.0,88009.0,71.0,0.0,Corporate Auto,Two-Door Car,266.52482
East,M,College,3288.0,0.0,97.0,0.0,Personal Auto,Four-Door Car,1026.315988
East,F,College,2004.0,0.0,66.0,4.0,Corporate Auto,Four-Door Car,316.8
North West,F,Master,13736.0,16181.0,181.0,0.0,Personal Auto,SUV,1261.319869
North West,M,College,4411.0,0.0,62.0,0.0,Personal Auto,Two-Door Car,446.4
Central,F,Bachelor,5392.0,75438.0,136.0,0.0,Personal Auto,SUV,438.480672
North West,F,High School or Below,2561.0,0.0,73.0,0.0,Corporate Auto,Two-Door Car,842.87608
North West,M,Bachelor,6057.0,27681.0,83.0,0.0,Corporate Auto,Two-Door Car,398.4
Central,F,Bachelor,22256.0,23444.0,196.0,0.0,Corporate Auto,SUV,940.8
East,F,Master,2693.0,63684.0,68.0,0.0,Personal Auto,Two-Door Car,343.889585
North West,F,College,4296.0,61737.0,107.0,0.0,Personal Auto,Sports Car,495.670802
West,M,High School or Below,11624.0,0.0,113.0,0.0,Personal Auto,Four-Door Car,813.6
North West,M,Bachelor,8749.0,52373.0,111.0,0.0,Personal Auto,Four-Door Car,186.160527
North West,M,Bachelor,3155.0,58213.0,79.0,0.0,Personal Auto,Four-Door Car,39.714767
West,M,High School or Below,3317.0,74142.0,83.0,0.0,Personal Auto,Two-Door Car,398.4
Central,F,High School or Below,7821.0,0.0,109.0,0.0,Personal Auto,Four-Door Car,784.8
East,M,College,4240.0,49746.0,111.0,3.0,Corporate Auto,Four-Door Car,589.298521
West,F,High School or Below,8992.0,0.0,129.0,0.0,Personal Auto,SUV,1059.572464
North West,M,Bachelor,7304.0,0.0,104.0,0.0,Personal Auto,Four-Door Car,499.2
Central,F,Bachelor,5217.0,39854.0,66.0,0.0,Personal Auto,Two-Door Car,261.930545
Central,F,Master,2725.0,36650.0,69.0,1.0,Corporate Auto,Four-Door Car,56.60333
West,F,High School or Below,18569.0,32756.0,93.0,0.0,Personal Auto,Two-Door Car,381.118731
Central,M,College,9985.0,36268.0,86.0,1.0,Personal Auto,Four-Door Car,531.164627
North West,F,Bachelor,8257.0,23815.0,73.0,0.0,Personal Auto,Four-Door Car,424.330166
Central,F,College,8002.0,0.0,107.0,0.0,Corporate Auto,SUV,513.6
Central,M,High School or Below,5897.0,39188.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
Central,M,College,4686.0,58089.0,118.0,0.0,Personal Auto,SUV,566.4
North West,F,High School or Below,5943.0,62120.0,74.0,0.0,Corporate Auto,Four-Door Car,28.31732
North West,F,High School or Below,2648.0,26540.0,69.0,0.0,Personal Auto,Four-Door Car,378.432035
West,M,College,4650.0,28215.0,65.0,0.0,Personal Auto,Two-Door Car,468.0
Central,F,Doctor,44856.0,61675.0,123.0,0.0,Corporate Auto,SUV,482.550044
West,M,Master,26570.0,0.0,100.0,0.0,Personal Auto,Sports Car,480.0
Central,F,College,2951.0,69600.0,74.0,0.0,Personal Auto,Four-Door Car,341.396161
West,F,College,2464.0,40982.0,62.0,0.0,Corporate Auto,Four-Door Car,106.665934
North West,M,Bachelor,5555.0,74015.0,72.0,0.0,Personal Auto,Four-Door Car,471.443077
West,M,High School or Below,3199.0,0.0,94.0,0.0,Personal Auto,Two-Door Car,1121.876091
North West,F,Bachelor,2776.0,0.0,79.0,0.0,Personal Auto,Four-Door Car,509.028102
Central,M,College,16355.0,29439.0,146.0,0.0,Personal Auto,SUV,700.8
North West,M,College,7329.0,0.0,108.0,0.0,Personal Auto,Sports Car,518.4
Central,M,Bachelor,5555.0,74015.0,72.0,0.0,Personal Auto,Four-Door Car,471.443077
Central,F,College,6383.0,67881.0,79.0,0.0,Personal Auto,Two-Door Car,391.039166
Central,F,High School or Below,7758.0,96162.0,97.0,0.0,Corporate Auto,Four-Door Car,376.569009
West,F,College,14932.0,39049.0,63.0,0.0,Personal Auto,Two-Door Car,294.75626
North West,M,Doctor,8047.0,29808.0,105.0,1.0,Personal Auto,SUV,52.456587
West,F,Master,10861.0,65727.0,134.0,0.0,Corporate Auto,SUV,363.995013
East,F,High School or Below,2195.0,0.0,62.0,1.0,Personal Auto,Four-Door Car,446.4
West,F,High School or Below,2397.0,22283.0,65.0,0.0,Corporate Auto,Four-Door Car,572.072106
East,F,College,4070.0,37435.0,105.0,0.0,Personal Auto,SUV,314.441585
North West,M,College,5578.0,27756.0,71.0,0.0,Corporate Auto,Two-Door Car,735.733206
Central,M,High School or Below,8139.0,86876.0,68.0,0.0,Personal Auto,Four-Door Car,118.810361
West,M,Bachelor,7444.0,0.0,114.0,0.0,Personal Auto,Four-Door Car,863.861736
West,F,High School or Below,7295.0,34062.0,91.0,0.0,Corporate Auto,Four-Door Car,603.350571
North West,M,High School or Below,5325.0,0.0,73.0,0.0,Personal Auto,Two-Door Car,496.474767
East,F,College,2442.0,0.0,69.0,0.0,Corporate Auto,Four-Door Car,331.2
Central,F,College,10307.0,78358.0,128.0,0.0,Corporate Auto,SUV,614.4
West,F,Bachelor,2461.0,12222.0,67.0,1.0,Corporate Auto,Two-Door Car,321.6
West,F,Bachelor,2521.0,41247.0,64.0,0.0,Personal Auto,Two-Door Car,307.2
West,F,College,25464.0,13663.0,97.0,0.0,Corporate Auto,Four-Door Car,465.6
Central,F,College,2822.0,25531.0,74.0,0.0,Personal Auto,Two-Door Car,355.2
Central,M,College,5811.0,58643.0,74.0,0.0,Personal Auto,Four-Door Car,329.46648
North West,M,Bachelor,21850.0,48107.0,190.0,2.0,Corporate Auto,Luxury Vehicle,912.0
East,F,Bachelor,9320.0,18643.0,119.0,0.0,Corporate Auto,Four-Door Car,571.2
Central,F,College,22305.0,0.0,102.0,0.0,Personal Auto,Two-Door Car,401.528957
North West,M,Master,22118.0,58645.0,110.0,0.0,Personal Auto,SUV,427.723646
North West,F,Bachelor,7218.0,95058.0,177.0,0.0,Personal Auto,SUV,89.712324
East,F,Bachelor,6117.0,0.0,87.0,0.0,Corporate Auto,Four-Door Car,1032.609293
North West,F,High School or Below,4882.0,19715.0,66.0,4.0,Personal Auto,Four-Door Car,475.2
Central,F,Master,2674.0,68787.0,66.0,0.0,Personal Auto,Four-Door Car,105.379402
Central,M,Bachelor,7724.0,29056.0,66.0,0.0,Personal Auto,Two-Door Car,355.531267
North West,F,College,4708.0,47829.0,117.0,1.0,Personal Auto,SUV,561.6
Central,F,Bachelor,4447.0,13128.0,118.0,0.0,Personal Auto,Four-Door Car,771.878514
West,F,College,4823.0,58946.0,121.0,0.0,Personal Auto,SUV,486.720776
North West,M,College,5420.0,31614.0,71.0,0.0,Personal Auto,Four-Door Car,234.683628
West,F,Bachelor,7583.0,44667.0,65.0,0.0,Personal Auto,Four-Door Car,245.661376
North West,M,College,3852.0,0.0,111.0,0.0,Personal Auto,Four-Door Car,937.824847
West,M,High School or Below,7647.0,91512.0,189.0,0.0,Personal Auto,Luxury Vehicle,907.2
North West,F,High School or Below,5229.0,26540.0,69.0,1.0,Personal Auto,Four-Door Car,331.2
North West,M,Bachelor,3614.0,0.0,103.0,0.0,Personal Auto,SUV,741.6
Central,M,High School or Below,2853.0,38798.0,72.0,0.0,Personal Auto,Four-Door Car,332.945455
North West,F,Bachelor,8543.0,0.0,117.0,0.0,Personal Auto,Sports Car,561.6
North West,F,Bachelor,5150.0,65629.0,64.0,0.0,Personal Auto,Four-Door Car,89.411365
Central,F,Master,8723.0,33291.0,73.0,1.0,Personal Auto,Four-Door Car,172.226165
West,F,College,16477.0,57264.0,84.0,1.0,Personal Auto,Four-Door Car,129.249842
West,F,Bachelor,26338.0,60970.0,110.0,0.0,Personal Auto,SUV,94.496547
North West,M,College,4244.0,34220.0,109.0,1.0,Corporate Auto,SUV,523.2
Central,M,Master,5757.0,88997.0,72.0,0.0,Personal Auto,Four-Door Car,174.041566
Central,M,Doctor,4826.0,18779.0,63.0,0.0,Personal Auto,Four-Door Car,215.255721
North West,M,College,8092.0,50825.0,102.0,0.0,Corporate Auto,SUV,369.614729
Central,M,High School or Below,3011.0,0.0,86.0,0.0,Personal Auto,Four-Door Car,569.130423
West,F,High School or Below,8663.0,29218.0,72.0,0.0,Personal Auto,Four-Door Car,502.369442
West,M,High School or Below,2471.0,95697.0,61.0,0.0,Special Auto,Two-Door Car,114.273025
North West,F,Doctor,5627.0,61486.0,70.0,0.0,Personal Auto,Two-Door Car,334.13351
Central,F,Bachelor,7494.0,0.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
North West,F,Bachelor,5452.0,17723.0,72.0,0.0,Personal Auto,Two-Door Car,345.6
West,M,High School or Below,2592.0,72421.0,65.0,0.0,Personal Auto,Four-Door Car,312.0
West,F,College,6721.0,36510.0,84.0,0.0,Personal Auto,Four-Door Car,286.781601
North West,M,Bachelor,5500.0,35396.0,70.0,0.0,Personal Auto,Two-Door Car,336.0
North West,F,College,2550.0,69230.0,63.0,0.0,Special Auto,Four-Door Car,283.241868
East,F,Master,7771.0,28054.0,195.0,1.0,Corporate Auto,SUV,571.663256
West,F,College,4236.0,25866.0,109.0,0.0,Personal Auto,Four-Door Car,523.2
North West,F,Bachelor,9025.0,23675.0,117.0,0.0,Personal Auto,Four-Door Car,707.925645
West,M,Master,2615.0,0.0,71.0,0.0,Personal Auto,Two-Door Car,340.8
Central,F,Bachelor,2396.0,0.0,66.0,2.0,Personal Auto,Four-Door Car,433.160284
West,F,Bachelor,4784.0,0.0,68.0,0.0,Personal Auto,Two-Door Car,326.4
Central,M,College,3873.0,28142.0,105.0,0.0,Personal Auto,Sports Car,701.708239
North West,M,College,7806.0,23706.0,68.0,1.0,Corporate Auto,Four-Door Car,326.4
Central,M,College,4717.0,0.0,131.0,0.0,Personal Auto,SUV,628.8
East,M,Bachelor,5625.0,0.0,85.0,0.0,Corporate Auto,Four-Door Car,872.203927
Central,F,Master,5182.0,83527.0,64.0,1.0,Personal Auto,Two-Door Car,39.127298
Central,M,High School or Below,6005.0,26876.0,76.0,0.0,Personal Auto,Four-Door Car,364.8
Central,F,High School or Below,9837.0,55099.0,122.0,0.0,Corporate Auto,Sports Car,260.265417
Central,F,College,5206.0,71661.0,65.0,0.0,Personal Auto,Four-Door Car,312.0
North West,M,Bachelor,36293.0,18047.0,242.0,0.0,Personal Auto,Luxury Vehicle,1350.379181
East,M,College,2837.0,90893.0,70.0,0.0,Personal Auto,Two-Door Car,70.712507
Central,M,College,11785.0,90016.0,102.0,4.0,Personal Auto,Four-Door Car,20.405935
West,M,Bachelor,3124.0,81285.0,81.0,2.0,Personal Auto,Four-Door Car,441.765368
Central,F,Bachelor,13862.0,96950.0,115.0,0.0,Personal Auto,Sports Car,633.132017
West,M,Doctor,8200.0,24814.0,69.0,0.0,Special Auto,Two-Door Car,331.2
North West,F,High School or Below,8456.0,0.0,90.0,3.0,Corporate Auto,Two-Door Car,648.0
Central,M,Bachelor,2124.0,0.0,61.0,1.0,Personal Auto,Two-Door Car,60.5975
North West,F,Master,9045.0,52572.0,113.0,0.0,Personal Auto,Four-Door Car,441.623031
Central,M,Doctor,3187.0,0.0,85.0,0.0,Corporate Auto,Two-Door Car,595.160486
West,F,High School or Below,8113.0,41701.0,68.0,0.0,Corporate Auto,Four-Door Car,64.646458
North West,M,College,34039.0,0.0,104.0,0.0,Personal Auto,Sports Car,499.2
Central,M,High School or Below,9087.0,0.0,80.0,0.0,Corporate Auto,Four-Door Car,384.0
West,M,Bachelor,12519.0,34179.0,107.0,0.0,Corporate Auto,Sports Car,770.4
North West,M,Bachelor,6057.0,27681.0,83.0,0.0,Personal Auto,Two-Door Car,398.4
Central,M,Bachelor,4967.0,0.0,73.0,0.0,Corporate Auto,Four-Door Car,359.35328
East,F,Bachelor,6933.0,0.0,70.0,1.0,Personal Auto,Four-Door Car,504.0
East,F,High School or Below,22399.0,78494.0,69.0,0.0,Personal Auto,Two-Door Car,78.189401
Central,F,College,2162.0,0.0,66.0,2.0,Personal Auto,Two-Door Car,316.8
North West,M,Bachelor,21776.0,56044.0,182.0,0.0,Personal Auto,SUV,952.849701
North West,M,College,9095.0,37937.0,116.0,0.0,Personal Auto,SUV,556.8
Central,F,High School or Below,4228.0,77853.0,106.0,0.0,Personal Auto,SUV,165.237444
Central,F,College,6521.0,72608.0,82.0,3.0,Personal Auto,Four-Door Car,393.6
West,M,High School or Below,10209.0,36568.0,128.0,0.0,Personal Auto,SUV,978.621302
Central,M,High School or Below,7600.0,0.0,110.0,2.0,Personal Auto,SUV,796.987409
East,F,Bachelor,3894.0,59578.0,98.0,1.0,Corporate Auto,Four-Door Car,403.67601
North West,M,High School or Below,8510.0,26032.0,109.0,0.0,Personal Auto,SUV,638.098653
North West,M,High School or Below,2712.0,39618.0,68.0,0.0,Corporate Auto,Four-Door Car,326.4
Central,M,High School or Below,2258.0,0.0,65.0,0.0,Personal Auto,Four-Door Car,625.483498
West,M,College,4815.0,59438.0,124.0,0.0,Special Auto,SUV,562.667789
East,F,High School or Below,8007.0,0.0,112.0,0.0,Personal Auto,Sports Car,537.6
East,M,Bachelor,3008.0,0.0,87.0,0.0,Personal Auto,Four-Door Car,401.484738
East,F,Bachelor,2530.0,89451.0,63.0,0.0,Personal Auto,Four-Door Car,61.769564
Central,M,High School or Below,10787.0,44695.0,91.0,0.0,Personal Auto,Four-Door Car,147.954285
West,F,High School or Below,11923.0,24581.0,101.0,0.0,Personal Auto,Four-Door Car,484.8
Central,M,Bachelor,5186.0,0.0,73.0,1.0,Personal Auto,Four-Door Car,194.944319
Central,F,Bachelor,10103.0,72334.0,129.0,3.0,Corporate Auto,SUV,412.829624
North West,M,High School or Below,6438.0,19831.0,83.0,0.0,Personal Auto,Four-Door Car,398.4
West,M,High School or Below,3909.0,40361.0,98.0,0.0,Personal Auto,Four-Door Car,71.169255
West,M,Bachelor,13211.0,74656.0,111.0,0.0,Personal Auto,Four-Door Car,504.365927
North West,M,Master,14616.0,25358.0,126.0,0.0,Personal Auto,SUV,750.58561
West,M,Bachelor,3732.0,35461.0,95.0,1.0,Corporate Auto,Four-Door Car,9.214343
West,M,Doctor,8750.0,59047.0,76.0,3.0,Personal Auto,Four-Door Car,364.8
